identifier,score
6E21,0.9969470976589359
7F4X,0.995754022596641
5ZN0,0.9955012803741718
6EYM,0.9941149904331055
6AJZ,0.99337576348415
6F2Q,0.9932089030535536
4PVN,0.9928051590364537
4PVM,0.9928051590364537
5CG5,0.9925446024136537
3VXF,0.9924489909272514
6GCY,0.9919651110008754
6FJI,0.9919651110008754
6FJJ,0.9919651110008754
5CG6,0.9919597481771187
5C8I,0.9912495570882165
2R24,0.990048131343215
6EXY,0.988127550932461
6EFK,0.4985595455389925
6NSV,0.4985397030910933
3TDU,0.49826895710315583
3L2O,0.4982551669849247
4O75,0.4981534265570863
7TB1,0.49803843229339245
4P5O,0.49802969855184603
4KBQ,0.4979913160561028
1LDK,0.49793094598295773
2C2L,0.49791363172340086
3TDZ,0.4979077326172687
3DPL,0.49789271671075036
1LDJ,0.4978256048020256
3RTR,0.4978084437660047
1U6G,0.4977034090321444
6O60,0.49768471576076445
2ASS,0.4976664055482242
1EEO,0.4976556032889432
3Q49,0.4976507767475623
3DQV,0.4976194425344705
2C2V,0.4976112450752998
6R75,0.49761024912231644
1ZDN,0.49760488629855987
2OVQ,0.49759760818060456
3Q47,0.4975920921333121
1PTU,0.49758910427436204
6W66,0.4975674997558
4F52,0.49756305627325886
5DZD,0.49755930229662926
7T1Z,0.4975560079906074
3FWV,0.4975383106722108
6QH3,0.4975152505300577
6QHK,0.4975152505300577
5BNB,0.49749632742337385
5V89,0.49749226699967247
3FVH,0.4974882065759711
5CQ2,0.49748498888171716
4DFW,0.4974754890224913
4Q5H,0.49745503368044847
4Q5E,0.49745503368044847
4RCP,0.4974499006919958
4O6W,0.4974499006919958
3RQ7,0.4974499006919958
6S96,0.4974456870447585
5SXM,0.4974414733975212
3Q4A,0.49743695330321214
2OVR,0.4974266107145388
7T1Y,0.4974266107145388
5NGZ,0.49741665118470524
6MBB,0.49740952629028584
6MBC,0.49740952629028584
4GBA,0.49740408685476134
6ZRC,0.4973853169716134
6ZRD,0.4973853169716134
6DTN,0.49738125654791204
3WSO,0.49738125654791204
4CDR,0.49737198652399
4LKL,0.4973712970180785
5IBK,0.4973712970180785
4ROF,0.4973667003120014
6E3I,0.4973660108060899
2OVP,0.49735145457017926
